time,x,y,heading
55.296,-2.543484064952715,-2.861611756618218,-0.04802081778071172
55.808,-2.2366380944327418,-2.876354832659658,-0.048002383393560666
56.32,-1.9297920196794496,-2.891096393643992,-0.048005262350996204
56.832,-1.6229459284157217,-2.905837888203054,-0.0480075412272027
57.344,-1.3160998473260583,-2.9205796942221305,-0.04800361920626592
57.856,-1.0092537682254128,-2.9353216108305453,-0.04800628246532843
58.368,-0.70240766963568,-2.9500630543996604,-0.04800684730446805
58.88,-0.3955615891442785,-2.964804927212372,-0.04800348711142164
59.392,-0.08871550554463824,-2.9795467548208046,-0.0480068927976295
59.904,0.21813059329808876,-2.9942881936985293,-0.04800615042225615
60.416000000000004,0.5249766715830977,-3.0090301278203593,-0.04800357895316546
60.928000000000004,0.8318227598413422,-3.0237718459543568,-0.04800734132650789
61.44,1.1386688575666353,-3.03851330975016,-0.048005375097036423
61.952,1.4455149348288603,-3.053255276464333,-0.048003891485514205
62.464,1.7523610279088069,-3.0679968792733145,-0.04800757101727462
62.976,2.0592071236364937,-3.082738391239451,-0.04800459513656372
63.488,2.366053201426038,-3.0974803542282605,-0.04800437414903879
64.0,2.672899299208283,-3.112221843770204,-0.0480075421149864
64.512,2.9797453926118433,-3.1269634152333703,-0.04800386880808618
65.024,3.2865914727495475,-3.141705331843487,-0.04800494096823282
65.536,3.593437575206621,-3.156446709379429,-0.04800723657399814
66.048,3.9002836671869208,-3.1711883259304403,-0.04800314966498239
66.56,4.143733964378285,-3.182887519136897,-0.04801600826424005
67.072,4.288239755357619,-3.189829315707616,-0.047991868693717736
67.584,4.3606454985784575,-3.1553383470634935,-0.04798336736236883
68.096,4.375152142581604,-3.0020688357142737,-0.047979708450512464
68.608,4.389865803087873,-2.8491659989115004,-0.04799181489037311
69.12,4.40458744033004,-2.6962724217890264,-0.04799754590521475
69.632,4.429553709003837,-2.5571196644532854,-0.28882499160829195
70.144,4.481823952326003,-2.46835224058063,-1.1692074966381998
70.656,4.465430485149556,-2.4370892234310406,-2.3085346318607103
71.168,4.277122490184228,-2.442095695557687,2.9961174230955567
71.68,4.088590035973953,-2.413821211990497,2.9662678307185697
72.19200000000001,3.817968521213746,-2.412920731548449,-3.094956931483239
72.70400000000001,3.5109694957268993,-2.4184109327358656,-3.12473682017289
73.21600000000001,3.2038087284513685,-2.423408627814558,-3.125241298215518
73.72800000000001,2.8966504308973664,-2.4284569984281346,-3.1251390442398046
74.24,2.589492023464723,-2.433507631364308,-3.125164883411035
74.752,2.282333483779678,-2.4385539579340074,-3.125161496361502
75.264,1.9751749504949572,-2.4436009538794807,-3.1251630284354044
75.776,1.668016423111447,-2.448648338808205,-3.125162904086709
76.288,1.3608578834717038,-2.4536952682581563,-3.125160615608171
76.8,1.0536993461671151,-2.45874236170329,-3.125163709578641
77.312,0.7465408158449398,-2.4637896892321525,-3.1251622584849956
77.824,0.4393822746162159,-2.46883659158807,-3.125160843848671
