time,x,y,heading
34.304,1.7911421076877263,-3.870434007024298,-0.003245323809170564
34.816,1.4839437314699604,-3.869435937764531,-0.003249200426162191
35.328,1.176745347189038,-3.8684384555954723,-0.0032493646689097802
35.84,0.8695469689228763,-3.867440372408477,-0.0032452534408259977
36.352000000000004,0.5623485914978311,-3.866442428580496,-0.0032499580443406204
36.864000000000004,0.25515020700488494,-3.865444931335404,-0.0032484249291766776
37.376,-0.05204816993674445,-3.864446773815107,-0.003245502921412993
37.888,-0.35924654885794455,-3.8634489693250775,-0.0032504814716250636
38.4,-0.66644493302052,-3.8624514185881877,-0.003247423040257475
38.912,-0.9736433089895093,-3.861453225963976,-0.0032460347169930206
39.424,-1.2808416895468762,-3.8604555606702093,-0.003250703723345679
39.936,-1.5880400728861415,-3.859457926736943,-0.0032464642023774483
40.448,-1.8952384483611804,-3.8584597451670035,-0.0032467772259381455
40.96,-2.2024368305224913,-3.85746220677026,-0.003250588942776154
41.472,-2.509635212646088,-3.856464473742706,-0.003245637933358855
41.984,-2.8168335881806352,-3.855466352656335,-0.0032476284444568917
42.496,-3.124031971769617,-3.8544689225655175,-0.003250134457445216
43.008,-3.4312303524227525,-3.853471094743836,-0.0032449766471364383
43.52,-3.7384287285945765,-3.8524730858436764,-0.0032484555429850106
44.032000000000004,-4.031283896175582,-3.851523394682904,-0.0032291182903979873
44.544000000000004,-4.221439601514061,-3.8509076623626632,-0.0032504398873198044
45.056,-4.334423170783755,-3.850539850743321,-0.0032585616937480825
45.568,-4.3587451343122865,-3.744990264003782,-0.0032244288684430598
46.08,-4.357699537937593,-3.5913222174681096,-0.00327449933836996
46.592,-4.356693350322374,-3.4377233608202222,-0.0032646032727966534
47.104,-4.355691060943121,-3.2841262025505333,-0.0032584265290697806
47.616,-4.170576123178701,-3.2196593300534375,0.001808563731645326
48.128,-3.8631484420784354,-3.218960962217594,0.0027048288599052267
48.64,-3.5559441566098626,-3.2182267996244516,0.002206756303660399
49.152,-3.2487446502044546,-3.2175451208028605,0.0022546742699594688
49.664,-2.9415454534936094,-3.2168484871116427,0.0022677764864888804
50.176,-2.6343462405394025,-3.216152669452436,0.002265254475461292
50.688,-2.3271470242489576,-3.2154574666899918,0.0022630236604031626
51.2,-2.0199478141291918,-3.21476175108979,0.0022635166705290573
51.712,-1.7127486007725838,-3.214066450430502,0.002265832952492081
52.224000000000004,-1.4055493875780607,-3.2133710110959472,0.0022627047896677708
52.736000000000004,-1.0983501774652107,-3.2126753221150963,0.0022640978174588316
53.248000000000005,-0.791150963603727,-3.211980063978117,0.0022656100101165213
53.76,-0.4839517512040721,-3.211284529040551,0.002262450610691612
54.272,-0.1767525408464481,-3.210588881135751,0.002264744205651028
54.784,0.13044667338053678,-3.2098936326086642,0.002265214409747626
55.296,0.43764588500060125,-3.209198007361827,0.0022624015470883575
55.808,0.7448450958265346,-3.208502417099213,0.0022653351297239883
56.32,1.0520443101770547,-3.2078071470913216,0.0022647057237829235
56.832,1.3592435210719127,-3.2071114431008176,0.0022625730281648103
57.344,1.6664427325255695,-3.206415917671918,0.0022658126320172253
57.856,1.9736419467313318,-3.2057205944245712,0.002264153341557455
58.368,2.2808411570272233,-3.2050248281486535,0.00226295835492373
58.88,2.588040369191394,-3.2043293628219294,0.002266142826419648
59.392,2.8952395829828723,-3.203633955130536,0.002263637738609094
59.904,3.2024387928490183,-3.2029381413586284,0.0022635393751672993
60.416000000000004,3.5096380057300083,-3.202242715214563,0.002266348791927179
60.928000000000004,3.8168372188356483,-3.2015471879606743,0.002263251290034797
61.44,4.089607795824038,-3.200931700769501,0.0022469896689601625
61.952,4.256078368388935,-3.2005555485699912,0.0022736737186857376
62.464,4.355158836574634,-3.2003298834310363,0.0022782305131538593
62.976,4.354434269139032,-3.0468113831872254,0.0022921878744572013
63.488,4.353717454073382,-2.893189044598196,0.0022740876252127997
64.0,4.35301798492307,-2.7395902250322224,0.0022779274096647634
64.512,4.3523179052968,-2.5859916541893893,0.0022805357403389657
65.024,4.109612988369323,-2.5504267223606223,1.3250689698830669e-05
65.536,3.802298455438775,-2.550445072749241,-0.00016511017940356652
